id,roomNumber,capacity,type
C101,C101,70,LECTURE_ROOM
C102,C102,70,LECTURE_ROOM
C103,C103,70,LIBRARY
C104,C104,70,LECTURE_ROOM
L106,L106,35,COMPUTER_LAB
L107,L107,35,COMPUTER_LAB
L108,L108,35,COMPUTER_LAB
H109,H109,60,HARDWARE_LAB
C201,C201,70,LECTURE_ROOM
C202,C202,70,LECTURE_ROOM
C203,C203,70,LECTURE_ROOM
C204,C204,70,LECTURE_ROOM
C205,C205,70,LECTURE_ROOM
L206,L206,35,COMPUTER_LAB
L207,L207,35,COMPUTER_LAB
L208,L208,35,COMPUTER_LAB
H209,H209,60,HARDWARE_LAB
L301,L301,70,LECTURE_ROOM
L302,L302,70,LECTURE_ROOM
L303,L303,70,LECTURE_ROOM
L304,L304,70,LECTURE_ROOM
L305,L305,70,LECTURE_ROOM
L306,L306,35,COMPUTER_LAB
L307,L307,35,COMPUTER_LAB
L308,L308,35,COMPUTER_LAB
H309,H309,60,HARDWARE_LAB
L401,L401,70,LECTURE_ROOM
L402,L402,70,LECTURE_ROOM
L403,L403,70,LECTURE_ROOM
L404,L404,70,LECTURE_ROOM
L405,L405,35,COMPUTER_LAB
L406,L406,35,COMPUTER_LAB
L407,L407,35,COMPUTER_LAB
L408,L408,60,HARDWARE_LAB
C002,C002,120,SEATER_120
C003,C003,120,SEATER_120
C004,C004,240,SEATER_240

